State - Reg,State Abv,State Name,Reg Classification,Regulation Archived,Product Types regulated,Product Use Method,N-P-K Trigger,Claim Triggers,Package Size Trigger,Microbes Included,Tonnage Reporting Req?,Regulation,Frequency,Renewal Month,Initial Cost/Unit,Renewal Cost/Unit,TON Cost/Unit,Fee Unit,Min Ton Fee,Late Fee,State Contact (SC),SC Email Address,Office Mgr (Team lead),Office Mgr Email Address,Office Phone,Office Email,Check Payee,New Reg Method,New Registration Form or Portal,New Reg Sub Docs,New Reg Turnaround,Minimum Days Before Follow-up,New Reg Difficulty,Efficacy Requirements,In-state trials,Labs Required For Reg?,Test Frequency,Heavy Metals Test,Pathogen Analysis,Renewal Method,Renewal Sub Docs,Label Update Submission Method,Renewal Form or Portal,Tonnage Submission Method,Tonnage Form or Portal,Regulator Web Address,New Reg Trigger,Adjuvant Req,Discontinuance Period,Notes,Address Line 1,Address Line 2,Address Line 3,Mailing City,Mailing State,Mailing Zip,Delta Classification,Registration Tracking copy,Client Logins,Registration Tracking copy copy,Labeling Requirements,New Registration Notes,Client List,Tonnage Month,Renewal Season
IA-Soil Conditioner > 25lbs,IA,Iowa,Soil Conditioner > 25lbs,,"Amendment/Conditioner,Biological Inoculant,Surfactant/Wetting Agent","Foliar,Seed,Soil",0,,> 25 lbs,Yes,Yes,Registration,Annual,06,$0.00,$0.00,,$/Registration,,,April Good,,,,(515) 281-8597,FeedandFertilizer@Iowaagriculture.gov,IDALS,Online Portal,https://iowadeptag.my.site.com/s/login/?ec=302&startURL=/s/,"Label,Efficacy",2 Months,30,Challenging,"Will be requested via email (usually from Lloyd) if the AI(s) is not ""commonly"" recognized beneficial ingredient",,,,,,Online Portal,Updated labels,Online Portal,https://iowadeptag.my.site.com/s/login/?ec=302&startURL=/s/,,https://iowadeptag.my.site.com/s/login/?ec=302&startURL=/s/,https://iowaagriculture.gov/commercial-feed-and-fertilizer-bureau,"Name Change,Guarantee Change,Registrant Change",,,"Any product registered that is over 25 lbs is a permanent registration.

 Improves yield and soil",Feed and Fertilizer Bureau (IA Dept of Ag),Wallace Building,502 E 9th Street,Des Moines,IA,50319,Biostimulant,"422,771,773,780,788,812,815,818,821,866,940,1004,1011,1247,1480,1482,1484,1486,1489,1491,1495,1497,1499,1501,1503,1505,1508,1510,1512,1514,1516,1518,1520,1522,1524,1526,1880,1881,1882,1960,2098,2099,2100,2101,2102,2103,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2538,2624,2940,3648,3964,4553,5185,5240,5554,5709,2104,6430,6518,6538,6547,6581,6997,7049,7691,7559,7625,7229,7361,7296,7428,7493,7163,7791,7894,8127,8207,8271,8335,8445,8880,9878,10028,10096,10175,10254,10576,10797,10966,11037,11519,11597,11752,11830,11908,11986,12064,12142,12220,12298,12376,12454,12532,12610,12688,12834,13185,13338,13879,13881,13882,13998,14093",,"422,771,773,780,788,812,815,818,821,866,940,1004,1011,1247,1480,1482,1484,1486,1489,1491,1495,1497,1499,1501,1503,1505,1508,1510,1512,1514,1516,1518,1520,1522,1524,1526,1880,1881,1882,1960,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2538,2624,2940,3648,3964,4553,5185,5240,5554,5709,6430,6518,6538,6547,6581,6997,7049,7163,7229,7296,7361,7428,7493,7559,7625,7691,7791,7894,8127,8207,8271,8335,8445,8880,9878,10028,10096,10175,10254,10576,10797,10966,11037,12834,13338,11519,11597,11752,11908,11830,11986,13185,12064,12142,12220,12298,12376,12688,12454,12532,12610",,,,,Mid Year
IA-Soil Conditioner ≤ 25lbs,IA,Iowa,Soil Conditioner ≤ 25lbs,,"Amendment/Conditioner,Biological Inoculant,Surfactant/Wetting Agent","Foliar,Seed,Soil",0,,≤ 25 lbs,Yes,No,Registration,Annual,06,$100.00,$100.00,,$/Registration,,,April Good,,,,(515) 281-8597,FeedandFertilizer@Iowaagriculture.gov,IDALS,Online Portal,https://iowadeptag.my.site.com/s/login/?ec=302&startURL=/s/,"Label,Efficacy",2 Months,30,Challenging,"Will be requested via email (usually from Lloyd) if the AI(s) is not ""commonly"" recognized beneficial ingredient",No,,,,,Online Portal,Updated labels,Online Portal,https://iowadeptag.my.site.com/s/login/?ec=302&startURL=/s/,,https://iowadeptag.my.site.com/s/login/?ec=302&startURL=/s/,https://iowaagriculture.gov/commercial-feed-and-fertilizer-bureau,"Name Change,Guarantee Change,Registrant Change",,,Improves yield and soil,Feed and Fertilizer Bureau (IA Dept of Ag),Wallace Building,502 E 9th Street,Des Moines,IA,50319,Biostimulant,"342,443,204,237,566,590,614,640,787,867,1005,1012,1046,1246,1351,1359,1360,1361,1362,1481,1483,1485,1487,1490,1492,1496,1498,1500,1502,1504,1506,1509,1511,1513,1515,1517,1519,1521,1523,1525,1527,1770,1883,1884,1885,1961,1384,2120,2121,2122,2123,2124,2125,2126,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2539,2625,2941,3649,3965,4554,5186,5241,5555,5622,5623,5624,5710,2127,6431,6519,6539,6548,6582,6998,7050,7692,7626,7826,7895,7362,7228,7427,7494,7162,7560,7295,8139,8208,8272,8336,8446,8881,10011,10029,10097,10176,10255,10577,10798,10967,11038,11520,11598,11753,11831,11909,11987,12065,12143,12221,12299,12377,12455,12533,12611,12689,12835,13186,13304,13883,13884,14046,14078",,"204,237,342,443,566,590,614,640,787,867,1005,1012,1046,1246,1351,1359,1360,1361,1362,1384,1481,1483,1485,1487,1490,1492,1496,1498,1500,1502,1504,1506,1509,1511,1513,1515,1517,1519,1521,1523,1525,1527,1770,1883,1884,1885,1961,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2539,2625,2941,3649,3965,4554,5186,5241,5555,5622,5623,5624,5710,6431,6519,6539,6548,6582,6998,7050,7162,7228,7295,7362,7427,7494,7560,7626,7692,7826,7895,8139,8208,8272,8336,8446,8881,10011,10029,10097,10176,10255,10577,10798,10967,11038,12835,13304,11520,11598,11753,11909,11831,11987,13186,12065,12143,12221,12299,12377,12689,12455,12533,12611",,,,,Mid Year
IA-Specialty fertilizer,IA,Iowa,Specialty fertilizer,,Fertilizer,N/A,> 0,,,No,No,Registration,Biennial,06,$20.00,$20.00,,,,,April Good,,,,(515) 281-8597,FeedandFertilizer@Iowaagriculture.gov,IDALS,Online Portal,https://iowadeptag.my.site.com/s/login/?ec=302&startURL=/s/,Label,2 Months,30,,,,,,,,Online Portal,,Online Portal,https://iowadeptag.my.site.com/s/login/?ec=302&startURL=/s/,,https://iowadeptag.my.site.com/s/login/?ec=302&startURL=/s/,https://iowaagriculture.gov/commercial-feed-and-fertilizer-bureau,,,,,Feed and Fertilizer Bureau (IA Dept of Ag),Wallace Building,502 E 9th Street,Des Moines,IA,50319,Fertilizer,"3043,3109,3172,3235,3298,3423,3486,3580,3703,3767,3831,3895,4017,4083,4147,4211,4288,4352,4423,4487,4606,4670,4734,4798,4863,4927,4991,5119,5804,9035,9101,9167,11116,11219,11322,11425,13093","SYM-IA-ALL NON-PEST-ALL,FYT-IA-ALL NON-PEST-ALL,MBF-IA-ALL NON-PEST-ALL,GWB-IA-ALL NON-PEST-ALL,VER-IA-ALL NON-PEST-ALL,TBP-IA-ALL NON-PEST-ALL,COR-IA-ALL NON-PEST-ALL,AGR-IA-ALL NON-PEST-ALL,ARB-IA-ALL NON-PEST-ALL,BOR-IA-ALL NON-PEST-ALL,EEA-IA-ALL NON-PEST-ALL,OMY-IA-ALL NON-PEST-ALL,BIN-IA-ALL NON-PEST-ALL,ABM-IA-ALL NON-PEST-ALL,IBA-IA-ALL NON-PEST-ALL,PLL-IA-ALL NON-PEST-ALL","3043,3109,3172,3235,3298,3423,3486,3580,3703,3767,3831,3895,4017,4083,4147,4211,4288,4352,4423,4487,4606,4670,4734,4798,4863,4927,4991,5119,5804,9035,9101,9167,11116,11219,13093,11322,11425",,,,,Mid Year
ID-Beneficial Substance,ID,Idaho,Beneficial Substance,checked,"Biological Inoculant,Amendment/Conditioner,Surfactant/Wetting Agent",,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID-Fertilizer,ID,Idaho,Fertilizer,,Fertilizer,N/A,> 0,,,No,Yes,Registration,Annual,01,$75.00,$75.00,,$/Registration,,,Brenda Thomasson,brenda.thomasson@isda.idaho.gov,,,(208) 332-8625,FFS@isda.idaho.gov,ID State Dept of Ag,Online Portal,https://www.isda.idaho.gov/ffs/login?ReturnUrl=/ffs,Label,2 Weeks,30,Easy,,,,,,,Online Portal,Updated labels,Online Portal,https://www.isda.idaho.gov/ffs/login?ReturnUrl=/ffs,,,https://agri.idaho.gov/plant-industries/fertilizer-and-soil-plant-amendments/,"Name Change,Guarantee Change,Registrant Change",,,,Idaho State Dept of Agriculture,Division of Plant Industries,PO Box 790,Boise,ID,83701,Fertilizer,"120,336,151,2977,3038,3104,3167,3230,3293,3418,3481,3575,3704,3768,3832,3896,4018,4084,4148,4212,4289,4353,4424,4488,4607,4671,4735,4799,4864,4928,4992,5120,5340,5414,5483,5817,5897,5924,5938,5952,5966,6752,6753,6754,6755,7967,8611,8702,8742,9036,9102,9168,9376,9377,9378,9379,9380,9381,9382,9383,9384,9385,9386,9387,9388,9389,9390,9849,9952,10506,10639,11117,11220,11323,11426,12765,13094,13474,13694,13830","ABM-ID-ALL NON-PEST-Product Registration,AGR-ID-ALL NON-PEST-Product Registration,ARB-ID-ALL NON-PEST-Product Registration,BIN-ID-ALL NON-PEST-Product Registration,BOR-ID-ALL NON-PEST-Product Registration,COR-ID-ALL NON-PEST-Product Registration,IBA-ID-ALL NON-PEST-Product Registration,EEA-ID-ALL NON-PEST-Product Registration,GWB-ID-ALL NON-PEST-Product Registration,OMY-ID-ALL NON-PEST-Product Registration,PLL-ID-ALL NON-PEST-Product Registration,SYM-ID-ALL NON-PEST-Product Registration,VER-ID-ALL NON-PEST-Product Registration,SEI-ID-ALL NON-PEST-Product Registration","120,151,336,2977,3038,3104,3167,3230,3293,3418,3481,3575,3704,3768,3832,3896,4018,4084,4148,4212,4289,4353,4424,4488,4607,4671,4735,4799,4864,4928,4992,5120,5340,5414,5483,5817,5897,5924,5938,5952,5966,6752,6753,6754,6755,7967,8611,8702,8742,9036,9102,9168,9376,9377,9378,9379,9380,9381,9382,9383,9384,9385,9386,9387,9388,9389,9390,9849,9952,10506,10639,12765,11220,11117,13094,11323,11426,13748",https://agri.idaho.gov/laws-and-rules/all-isda-laws-and-rules/#PlantsLaws,,,,End of Year
ID-Fertilizer Inspection Fees,ID,Idaho,Fertilizer Inspection Fees,,Fertilizer,N/A,,,,,No,Tonnage/Mill,,,,,,,,,Brenda Thomasson,brenda.thomasson@isda.idaho.gov,,,(208) 332-8625,,"ID State
  Dept of Ag",,,,,,,,,,,,,,,,,,,https://agri.idaho.gov/plant-industries/fertilizer-and-soil-plant-amendments/,,,,Cancelled Tonnage Reporting Requirements in 2022.,,,,,,,Tonnage,"685,709,5860,5862,6666,6917,8838,13370",,"685,709,5860,5862,6666,6917,8838",https://agri.idaho.gov/laws-and-rules/all-isda-laws-and-rules/#PlantsLaws,,,,
ID-Pesticide,ID,Idaho,Pesticide,,Adjuvant,N/A,0,,,No,No,Registration,Annual,12,$160.00,$160.00,,$/Registration,,,,,,,(208) 332-8610,,Idaho Department of Agriculture,,,,,30,,,,,,,,,,,,,,https://agri.idaho.gov/plant-industries/fertilizer-and-soil-plant-amendments/,,,,,Idaho State Dept of Agriculture,Division of Agricultural Technology,PO Box 7249,Boise,ID,83707,Adjuvant,"909,1345,5765,5775","VER-ID-Pesticide-Product Registration,MBF-ID-Pesticide-Product Registration","909,1345,5765,5775",https://agri.idaho.gov/laws-and-rules/all-isda-laws-and-rules/#PlantsLaws,,,,End of Year
ID-SA Tonnage Fee,ID,Idaho,SA Tonnage Fee,,Amendment/Conditioner,N/A,,,,,No,Tonnage/Mill,,,,,,,,,Brenda Thomasson,brenda.thomasson@isda.idaho.gov,,,(208) 332-8625,,ID State Dept of Ag,,,,,,,,,,,,,,,,,,,https://agri.idaho.gov/plant-industries/fertilizer-and-soil-plant-amendments/,,,,Cancelled Tonnage Reporting Requirements in 2022.,Idaho State Dept of Agriculture,Division of Plant Industries,PO Box 790,Boise,ID,83701,Tonnage,"668,1243,1357,2486,5322,5657,5861,6667,6918,8840",,"668,1243,1357,2486,5322,5657,5861,6667,6918,8840,13370",https://agri.idaho.gov/laws-and-rules/all-isda-laws-and-rules/#PlantsLaws,,,,
ID-Soil or Plant Amendment,ID,Idaho,Soil or Plant Amendment,,"Amendment/Conditioner,Biological Inoculant,Surfactant/Wetting Agent","Foliar,Seed,Soil",0,,,Yes,Yes,Registration,Annual,01,$90.00,$90.00,,$/Registration,,,Brenda Thomasson,brenda.thomasson@isda.idaho.gov,,,(208) 332-8625,,ID State Dept of Ag,Online Portal,https://www.isda.idaho.gov/ffs/login?ReturnUrl=/ffs,Label,2 Weeks,30,Easy,,No,,,,,Online Portal,Updated labels,Online Portal,https://www.isda.idaho.gov/ffs/login?ReturnUrl=/ffs,,,https://agri.idaho.gov/plant-industries/fertilizer-and-soil-plant-amendments/,"Name Change,Guarantee Change,Registrant Change",,,,Idaho State Dept of Agriculture,Division of Plant Industries,PO Box 790,Boise,ID,83701,Biostimulant,"8,50,92,173,205,238,272,335,563,587,611,637,936,111,1242,1446,1528,1529,1530,1531,1532,1533,1534,1962,2143,2144,2145,2146,2147,2148,2149,2150,2540,2626,2938,3645,3963,4552,5184,5239,5556,5711,6432,6452,6409,6540,6549,6583,6342,6999,7051,7678,7545,7611,7214,7347,7281,7413,7479,7148,7792,7896,8140,8209,8273,8337,8426,8427,8447,8882,9255,9879,10030,10098,10177,10256,10578,10799,10968,11039,11521,11599,11754,11832,11910,11988,12066,12144,12222,12300,12378,12456,12534,12612,12690,12836,13187,13305,13748,13885,13886,14042,14072","ABM-ID-ALL NON-PEST-Product Registration,AGR-ID-ALL NON-PEST-Product Registration,ARB-ID-ALL NON-PEST-Product Registration,BIN-ID-ALL NON-PEST-Product Registration,BOR-ID-ALL NON-PEST-Product Registration,COR-ID-ALL NON-PEST-Product Registration,IBA-ID-ALL NON-PEST-Product Registration,EEA-ID-ALL NON-PEST-Product Registration,GWB-ID-ALL NON-PEST-Product Registration,OMY-ID-ALL NON-PEST-Product Registration,PLL-ID-ALL NON-PEST-Product Registration,SYM-ID-ALL NON-PEST-Product Registration,VER-ID-ALL NON-PEST-Product Registration,SEI-ID-ALL NON-PEST-Product Registration","8,50,92,111,173,205,238,272,335,563,587,611,637,936,1242,1446,1528,1529,1530,1531,1532,1533,1534,1962,2143,2144,2145,2146,2147,2148,2149,2150,2540,2626,2938,3645,3963,4552,5184,5239,5556,5711,6342,6409,6432,6452,6540,6549,6583,6999,7051,7148,7214,7281,7347,7413,7479,7545,7611,7678,7792,7896,8140,8209,8273,8337,8426,8427,8447,8882,9255,9879,10030,10098,10177,10256,10578,10799,10968,11039,12836,13305,11521,11599,11754,11910,11832,11988,13187,12066,12144,12222,12300,12378,12690,12456,12534,12612",https://agri.idaho.gov/laws-and-rules/all-isda-laws-and-rules/#PlantsLaws,,,,End of Year
IL-Beneficial Substance,IL,Illinois,Beneficial Substance,checked,"Biological Inoculant,Amendment/Conditioner,Surfactant/Wetting Agent",,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL-Commercial Fertilizer - ≤ 5lbs or 1 Gal,IL,Illinois,Commercial Fertilizer - ≤ 5lbs or 1 Gal,,Fertilizer,N/A,> 0,,≤ 5 lbs ,No,No,Registration,Annual,12,$50.00,$50.00,,$/Registration,,$0.00,Cheryl Benton,cheryl.benton@illinois.gov,Brenda Eller,,(217) 785-8349,,IL Dept of Ag,Paper/Mail,https://agr.illinois.gov/content/dam/soi/en/web/agr/plants/fertilizer/documents/applicationforregistration.pdf,"Label,SDS,Efficacy,Method,Composition",2 Months,30,Moderate,,,,,,,Paper/Mail,Updated labels,Email,,,,https://agr.illinois.gov/plants/fertilizer.html,"Name Change,Guarantee Change,Registrant Change",,,,Idaho State Dept of Agriculture,Division of Plant Industries,"PO Box 19281, State Fairgrounds",Springfield,IL,62794,Fertilizer,"764,778,1328,1536,2151,2980,3039,3105,3168,3231,3294,3419,3482,3576,3705,3769,3833,3897,4019,4085,4149,4213,4290,4354,4425,4489,4608,4672,4736,4800,4865,4929,4993,5121,5341,5415,5484,5792,6626,7968,8402,9037,9103,9169,9953,10507,10640,11118,11221,11324,11427,13095,13699","VER-IL-ALL NON-PEST-ALL,GWB-IL-ALL NON-PEST-ALL,SYM-IL-ALL NON-PEST-ALL,ARB-IL-ALL NON-PEST-ALL,BOR-IL-ALL NON-PEST-ALL,OMY-IL-ALL NON-PEST-ALL,ABM-IL-ALL NON-PEST-ALL","764,778,1328,1536,2151,2980,3039,3105,3168,3231,3294,3419,3482,3576,3705,3769,3833,3897,4019,4085,4149,4213,4290,4354,4425,4489,4608,4672,4736,4800,4865,4929,4993,5121,5341,5415,5484,5792,6626,7968,8402,9037,9103,9169,9953,10507,10640,11118,11221,13095,11324,11427,11119,11222,13096,11325,11428",,,,,End of Year
IL-Commercial Fertilizer - ALL Prod,IL,Illinois,Commercial Fertilizer - ALL Prod,,Fertilizer,N/A,> 0,,,No,Yes,Registration,Annual,12,$20.00,$20.00,,$/Registration,,$0.00,Cheryl Benton,cheryl.benton@illinois.gov,Brenda Eller,,(217) 785-8349,,IL Dept of Ag,Paper/Mail,https://agr.illinois.gov/content/dam/soi/en/web/agr/plants/fertilizer/documents/applicationforregistration.pdf,"Label,SDS,Efficacy,Method,Composition",2 Months,30,Moderate,,,,,,,Paper/Mail,Updated labels,Email,,,,https://agr.illinois.gov/plants/fertilizer.html,"Name Change,Guarantee Change,Registrant Change",,,,Illinois State Dept of Agriculture,Bureau of Ag Products Inspection,"PO Box 19281, State Fairgrounds",Springfield,IL,62794,Fertilizer,"121,338,1329,2978,3040,3106,3169,3232,3295,3420,3483,3577,3706,3770,3834,3898,4020,4086,4150,4214,4291,4355,4426,4490,4609,4673,4737,4801,4849,4866,4930,4994,5122,5342,5416,5485,5783,5818,6007,6757,6758,6759,6760,6761,6762,8401,8612,8729,8743,9038,9104,9170,9391,9392,9393,9394,9395,9396,9397,9398,9399,9400,9401,9402,9403,9404,9954,10508,10641,11119,11222,11325,11428,13096,13458,13475,13695","VER-IL-ALL NON-PEST-ALL,GWB-IL-ALL NON-PEST-ALL,SYM-IL-ALL NON-PEST-ALL,ARB-IL-ALL NON-PEST-ALL,BOR-IL-ALL NON-PEST-ALL,OMY-IL-ALL NON-PEST-ALL,ABM-IL-ALL NON-PEST-ALL","121,338,1329,2978,3040,3106,3169,3232,3295,3420,3483,3577,3706,3770,3834,3898,4020,4086,4150,4214,4291,4355,4426,4490,4609,4673,4737,4801,4849,4866,4930,4994,5122,5342,5416,5485,5783,5818,6007,6757,6758,6759,6760,6761,6762,8401,8612,8729,8743,9038,9104,9170,9391,9392,9393,9394,9395,9396,9397,9398,9399,9400,9401,9402,9403,9404,9954,10508,10641",,,,,End of Year
IL-Fertilizer Distributor Permit,IL,Illinois,Fertilizer Distributor Permit,,Fertilizer,N/A,> 0,,,No,No,License,Annual,12,$100.00,$100.00,,$/License,,$0.00,Cheryl Benton,cheryl.benton@illinois.gov,Brenda Eller,,(217) 785-8349,,IL Dept of Ag,Paper/Mail,https://agr.illinois.gov/content/dam/soi/en/web/agr/plants/fertilizer/documents/fertilizerdistributor.pdf,,2 Months,30,,,,,,,,Paper/Mail,,,,,,https://agr.illinois.gov/plants/fertilizer.html,,,,,Idaho State Dept of Agriculture,Division of Plant Industries,"PO Box 19281, State Fairgrounds",Springfield,IL,62794,Fertilizer,"91,337,850,1212,1535,2012,2152,3538,5397,6006,6756,7855,8100,8613,9217,10701,13428,14114,14115","VER-IL-ALL NON-PEST-ALL,GWB-IL-ALL NON-PEST-ALL,SYM-IL-ALL NON-PEST-ALL,ARB-IL-ALL NON-PEST-ALL,BOR-IL-ALL NON-PEST-ALL,OMY-IL-ALL NON-PEST-ALL,ABM-IL-ALL NON-PEST-ALL","91,337,850,1212,1535,2012,2152,3538,5397,6006,6756,7855,8100,8613,9217,10701,13428",,,,,End of Year
IL-Monthly Tonnage Reports,IL,Illinois,Monthly Tonnage Reports,,"Fertilizer,Amendment/Conditioner",N/A,,,,,Yes,Tonnage/Mill,Monthly,,,,$0.0000,$/Ton Sold,$0.00,$0.00,Cheryl Benton,cheryl.benton@illinois.gov,Brenda Eller,,(217) 785-8349,,IL Dept of Ag,,,,,,,,,,,,,,,,,Online Portal,https://agr.illinois.gov/USAPlants/SecurityLogin.aspx,https://agr.illinois.gov/plants/fertilizer.html,,,,,Idaho State Dept of Agriculture,Division of Plant Industries,"PO Box 19281, State Fairgrounds",Springfield,IL,62794,Tonnage,"1206,1772,1792,2153,5658,5756,5863,5869,5870,5871,6668,6919,8841,10913","VER-IL-ALL NON-PEST-ALL,GWB-IL-ALL NON-PEST-ALL,SYM-IL-ALL NON-PEST-ALL,ARB-IL-ALL NON-PEST-ALL,BOR-IL-ALL NON-PEST-ALL,OMY-IL-ALL NON-PEST-ALL,ABM-IL-ALL NON-PEST-ALL","1206,1772,1792,2153,5658,5756,5863,5869,5870,5871,6668,6919,8841,10913",,,,"01,02,03,04,05,06,07,08,09,10,11,12",
IL-NREC Tonnage Assessment,IL,Illinois,NREC Tonnage Assessment,,Fertilizer,N/A,,,,,Yes,Tonnage/Mill,Semi-Annual,,,,$0.2500,$/Ton Sold,,,,,Brenda Eller,,,,NREC,,,,,,,,,,,,,,,,,Paper/Mail,,,,,,,Idaho State Dept of Agriculture,Division of Plant Industries,"PO Box 19281, State Fairgrounds",Springfield,IL,62794,Tonnage,"6927,8785,8842",,"6927,8785,8842",,,,"06,12",
IL-Semi-Annual Inspection Fees,IL,Illinois,Semi-Annual Inspection Fees,,"Fertilizer,Amendment/Conditioner",N/A,,,,,Yes,Tonnage/Mill,Semi-Annual,,,,$0.2500,$/Ton Sold,$15.00,$15.00,Cheryl Benton,cheryl.benton@illinois.gov,Brenda Eller,,(217) 785-8349,,IL Dept of Ag,,,,,,,,,,,,,,,,,Paper/Mail,,https://agr.illinois.gov/plants/fertilizer.html,,,,,Idaho State Dept of Agriculture,Division of Plant Industries,"PO Box 19281, State Fairgrounds",Springfield,IL,62794,Tonnage,"669,710,1205,1391,2154,2512,5285,5659,5864,5868,6669,6920,8843,10914","VER-IL-ALL NON-PEST-ALL,GWB-IL-ALL NON-PEST-ALL,SYM-IL-ALL NON-PEST-ALL,ARB-IL-ALL NON-PEST-ALL,BOR-IL-ALL NON-PEST-ALL,OMY-IL-ALL NON-PEST-ALL,ABM-IL-ALL NON-PEST-ALL","669,710,1205,1391,2154,2512,5285,5659,5864,5868,6669,6920,8843,10914",,,,"01,07",
IL-Soil Amendment,IL,Illinois,Soil Amendment,,"Amendment/Conditioner,Biological Inoculant,Surfactant/Wetting Agent","Seed,Soil",0,"Soil-applied,Value in promoting plant growth,Yield increase",,Yes,No,Registration,Annual,12,$250.00,$250.00,,$/Registration,,$100.00,Cheryl Benton,cheryl.benton@illinois.gov,Brenda Eller,,(217) 785-8349,,IL Dept of Ag,Paper/Mail,https://agr.illinois.gov/content/dam/soi/en/web/agr/plants/fertilizer/documents/soil-amendment-app.pdf,"Label,SDS,Efficacy,Method,Composition",2 Months,30,Moderate,"Efficacy data must support claims and be conducted under conditions (soil, weather) similar to those experienced in Illinois. No time length specified. ",Yes,,,,,Paper/Mail,Updated labels,Email,,,,https://agr.illinois.gov/plants/fertilizer.html,"Name Change,Guarantee Change,Registrant Change",,,"Improves soil characteristics

Seed applications not regulated as soil amendments",Idaho State Dept of Agriculture,Division of Plant Industries,"PO Box 19281, State Fairgrounds",Springfield,IL,62794,Biostimulant,"762,779,806,809,811,814,817,820,851,852,853,848,855,937,1006,1013,206,174,239,273,758,1244,1322,1385,1793,152,1963,2155,2453,2455,2460,2466,2541,2627,3646,3966,4555,5187,5242,5557,5625,5626,5627,5712,6131,6030,6386,2445,6520,6541,6550,6584,7000,7052,7679,7561,7627,7230,7363,7297,7429,7495,7164,7827,8141,8210,8274,8338,8379,8448,8911,9256,9880,10031,10099,10178,10257,10579,10702,10704,10800,10969,11040,11522,11600,11755,11833,11911,11989,12067,12145,12223,12301,12379,12457,12535,12613,12691,12837,13188,13306,13887,13888,14000,14094","VER-IL-ALL NON-PEST-ALL,GWB-IL-ALL NON-PEST-ALL,SYM-IL-ALL NON-PEST-ALL,ARB-IL-ALL NON-PEST-ALL,BOR-IL-ALL NON-PEST-ALL,OMY-IL-ALL NON-PEST-ALL,ABM-IL-ALL NON-PEST-ALL","152,174,206,239,273,758,762,779,806,809,811,814,817,820,848,851,852,853,855,937,1006,1013,1244,1322,1385,1793,1963,2155,2445,2453,2455,2460,2466,2541,2627,3646,3966,4555,5187,5242,5557,5625,5626,5627,5712,6030,6131,6386,6520,6541,6550,6584,7000,7052,7164,7230,7297,7363,7429,7495,7561,7627,7679,7827,8141,8210,8274,8338,8379,8448,8911,9256,9880,10031,10099,10178,10257,10579,10702,10704,10800,10969,11040,12837,13306,12613,12301,12379,12691,12457,12535,11522,11600,11755,11911,11833,11989,13188,12067,12145,12223",,,,,End of Year
IN-Beneficial Substance,IN,Indiana,Beneficial Substance,checked,"Biological Inoculant,Amendment/Conditioner,Surfactant/Wetting Agent",,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN-Fertilizer - > 12lbs,IN,Indiana,Fertilizer - > 12lbs,,Fertilizer,N/A,> 0,,> 12 lbs,No,Yes,Registration,Annual,06,$20.00,$20.00,,$/Registration,,,Lisa Mermoud,lmermoud@purdue.edu,,,(765) 494-1548,lmermoud@purdue.edu,IN State Chemist,Paper/Mail,https://oisc.purdue.edu/fertilizer/forms.html,"Label,SDS",2 Months,30,Moderate,,,,,,,Paper/Mail,Updated labels,Email,,,,https://oisc.purdue.edu/fertilizer/index.html,"Name Change,Guarantee Change,Registrant Change",,,,Office of Indiana State Chemist,Purdue University,175 S. University Street,West Lafayette,IN,47907,Fertilizer,"122,341,746,747,748,749,1542,1892,1893,2156,2979,3041,3107,3170,3233,3296,3421,3484,3578,3707,3771,3835,3899,4021,4087,4151,4215,4292,4356,4427,4491,4610,4674,4738,4802,4867,4931,4995,5123,5417,5486,5784,5819,5865,6000,6763,6764,6765,6766,6767,7969,8403,8614,8720,8744,9039,9105,9171,9405,9406,9407,9408,9409,9410,9411,9412,9413,9955,10509,10642,11120,11223,11326,11429,13097,13246,13247,13248,13249,13250,13344,13476,13700",,"122,341,746,747,748,749,1542,1892,1893,2156,2979,3041,3107,3170,3233,3296,3421,3484,3578,3707,3771,3835,3899,4021,4087,4151,4215,4292,4356,4427,4491,4610,4674,4738,4802,4867,4931,4995,5123,5417,5486,5784,5819,5865,6000,6763,6764,6765,6766,6767,7969,8403,8614,8720,8744,9039,9105,9171,9405,9406,9407,9408,9409,9410,9411,9412,9413,9955,10509,10642,13246,13247,13248,13249,13250,13344,11120,11223,13097,11326,11429",,,,,Mid Year
